RegisterName,MSBit,LSBit,RegisterFiled,Comments,T_TX_GTM,T_RX_GTM,T_TX_A_P,T_RX_A,T_TX_A_106_P,T_RX_A_106,T_TX_A_212,T_RX_A_212,T_TX_A_424,T_RX_A_424,T_TX_A_848,T_RX_A_848,T_TX_F_P,T_RX_F,T_TX_F_212_P,T_RX_F_212,T_TX_F_424_P,T_RX_F_424,T_TX_ACT,T_RX_ACT,T_TX_A_106_ACT,T_RX_A_106_ACT,T_TX_F_212_ACT,T_RX_F_212_ACT,T_TX_F_424_ACT,T_RX_F_424_ACT,T_TX_B,T_RX_B,T_TX_B_106,T_RX_B_106,T_TX_B_212,T_RX_B_212,T_TX_B_424,T_RX_B_424,T_TX_B_848,T_RX_B_848,""
CLIF_ANA_RX_REG,"","","","","",0390A3,"","","",0390A3,"",0390A3,"",0390A3,"",0390AF,"",0390A3,"","","","","","","","","","","","","",0390A3,"","","","","","","","",""
"",1,1,ADCBCM_ENABLE_106,"","",0,"","","",0,"",1,"",1,"",0,"","","",0,"",0,"","","","","",0,"",0,"","","",1,"",1,"",1,"",0,""
"",0,0,ADCBCM_ENABLE,"","",1,"","","",1,"",1,"",1,"",1,"","","",1,"",1,"","","","","",1,"",1,"","","",1,"",1,"",1,"",1,""
CLIF_ANA_CM_CONFIG_REG,"","","","","",04080,"","","",04080,"",07080,"",04080,"",04080,"","","","","","","","","","","","","","","","","","","","","","","","",""
"",31,17,RESERVED,"","",0,"","","",0,"",0,"",0,"",0,"","","","","","","","","","","","","","","","","","","","","","","","",""
"",16,16,CM_PD_RSSI,"","",0,"","","",0,"",0,"",0,"",0,"","","","","","","","","","","","","","","","","","","","","","","","",""
"",15,15,CM_PD_MILLER,"","",0,"","","",0,"",0,"",0,"",0,"","","","","","","","","","","","","","","","","","","","","","","","",""
"",14,14,CM_MILLER_EN_LOCK,"","",1,"","","",1,"",1,"",1,"",1,"","","","","","","","","","","","","","","","","","","","","","","","",""
"",13,12,CM_MILLER_SENS,"","",0,"","","",0,"",3,"",0,"",0,"","","","","","","","","","","","","","","","","","","","","","","","",""
"",11,10,CM_MILLER_TAU,"","",0,"","","",0,"",0,"",0,"",0,"","","","","","","","","","","","","","","","","","","","","","","","",""
"",9,9,CM_PD_MIXER_I,"","",0,"","","",0,"",0,"",0,"",0,"","","","","","","","","","","","","","","","","","","","","","","","",""
"",8,8,CM_PD_MIXER_Q,"","",0,"","","",0,"",0,"",0,"",0,"","","","","","","","","","","","","","","","","","","","","","","","",""
"",7,7,CM_MIXER_ENABLE_PULLDOWN,"","",1,"","","",1,"",1,"",1,"",1,"","","","","","","","","","","","","","","","","","","","","","","","",""
"",6,6,CM_ATTEN_ALWAYS_ON,"","",0,"","","",0,"",0,"",0,"",0,"","","","","","","","","","","","","","","","","","","","","","","","",""
"",5,5,CM_PD_CLKREC,"","",0,"","","",0,"",0,"",0,"",0,"","","","","","","","","","","","","","","","","","","","","","","","",""
"",4,4,CM_PD_DLL,"","",0,"","","",0,"",0,"",0,"",0,"","","","","","","","","","","","","","","","","","","","","","","","",""
"",3,3,CM_PD_DLL_CP,"","",0,"","","",0,"",0,"",0,"",0,"","","","","","","","","","","","","","","","","","","","","","","","",""
"",2,2,CM_CLK_REC_DIFF,"","",0,"","","",0,"",0,"",0,"",0,"","","","","","","","","","","","","","","","","","","","","","","","",""
"",1,0,CM_DLL_COARSE,"","",0,"","","",0,"",0,"",0,"",0,"","","","","","","","","","","","","","","","","","","","","","","","",""
CLIF_SIGPRO_CM_CONFIG_REG,"","","","","",06B40,"","","",0944,"",0944,"",1144,"",1144,"","","",06206,"",06206,"","","",104,"",06206,"",06206,"","","","","","","","","","",""
"",31,15,RESERVED,"","",0,"","","",0,"",0,"",0,"",0,"","","",0,"",0,"","","",0,"",0,"",0,"","","","","","","","","","",""
"",14,14,MANCHESTER_BITDETECT_ENABLE,"","",1,"","","",0,"",0,"",0,"",0,"","","",1,"",1,"","","",0,"",1,"",1,"","","","","","","","","","",""
